Analysis of Logs: physics_logs_20260131_200036
========================================
Peak Heat Capacity Temperature: 37.1848
Peak Heatmap Mutate Probability Temp: 191.3108

Temperature vs Bad Acceptance Rate Table:
Temp	Bad_AR
287.9961	0.7921
279.1919	0.7875
270.5344	0.7825
262.1454	0.7759
254.0165	0.7696
246.1397	0.7645
238.5072	0.7568
231.1113	0.7503
223.9447	0.7436
217.0004	0.7376
210.2715	0.7304
203.7511	0.7245
197.4330	0.7173
191.3108	0.7112
185.3784	0.7021
179.6300	0.6977
174.0599	0.6890
168.6624	0.6817
163.4324	0.6732
158.3645	0.6654
153.4538	0.6585
148.6953	0.6496
144.0844	0.6414
139.6165	0.6336
135.2871	0.6242
131.0920	0.6166
127.0270	0.6072
123.0880	0.5988
119.2711	0.5900
115.5726	0.5821
111.9888	0.5725
108.5162	0.5651
105.1512	0.5533
101.8906	0.5471
98.7310	0.5372
95.6695	0.5278
92.7029	0.5188
89.8282	0.5100
87.0427	0.5001
84.3436	0.4914
81.7282	0.4830
79.1939	0.4720
76.7382	0.4641
74.3586	0.4552
72.0528	0.4458
69.8185	0.4360
67.6535	0.4274
65.5556	0.4184
63.5228	0.4081
61.5530	0.3988
59.6443	0.3905
57.7948	0.3815
56.0027	0.3732
54.2661	0.3648
52.5833	0.3548
50.9528	0.3465
49.3728	0.3383
47.8418	0.3299
46.3582	0.3220
44.9207	0.3145
43.5278	0.3062
42.1780	0.2971
40.8701	0.2903
39.6028	0.2824
38.3747	0.2751
37.1848	0.2682
36.0478	0.2600
34.9458	0.2527
33.8622	0.2468
32.8122	0.2396
31.7947	0.2334
30.8088	0.2267
29.8534	0.2203
28.9277	0.2135
28.0307	0.2086
27.1615	0.2021
26.3192	0.1965
25.5031	0.1912
24.7122	0.1856
23.9459	0.1796
23.2034	0.1755
22.4839	0.1701
21.7867	0.1642
21.1111	0.1601
20.4565	0.1547
19.8221	0.1514
19.2075	0.1471
18.6119	0.1421
18.0347	0.1380
17.4755	0.1345
16.9336	0.1301
16.4085	0.1268
15.8997	0.1233
15.4066	0.1195
14.9289	0.1157
14.4660	0.1126
14.0174	0.1085
13.5827	0.1065
13.1615	0.1036
12.7534	0.0999
12.3579	0.0974
11.9747	0.0946
11.6034	0.0922
11.2436	0.0898
10.8949	0.0876
10.5571	0.0838
10.2297	0.0820
9.9125	0.0789
9.6051	0.0772
9.3073	0.0754
9.0187	0.0730
8.7390	0.0707
8.4680	0.0689
8.2055	0.0675
7.9510	0.0656
7.7045	0.0633
7.4655	0.0619
7.2340	0.0605
7.0097	0.0587
6.7924	0.0575
6.5817	0.0549
6.3776	0.0539
6.1799	0.0523
5.9882	0.0514
5.8026	0.0507
5.6226	0.0489
5.4483	0.0476
5.2793	0.0471
5.1156	0.0447
4.9570	0.0436
4.8033	0.0431
4.6543	0.0430
4.5120	0.0412
4.3741	0.0397
4.2385	0.0386
4.1070	0.0368
3.9797	0.0373
3.8563	0.0367
3.7367	0.0357
3.6208	0.0349
3.5085	0.0344
3.3997	0.0331
3.2943	0.0327
3.1922	0.0318
3.0932	0.0310
2.9973	0.0304
2.9043	0.0295
2.8143	0.0285
2.7270	0.0281
2.6424	0.0280
2.5605	0.0268
2.4811	0.0261
2.4042	0.0264
2.3296	0.0259
2.2574	0.0243
2.1874	0.0237
2.1195	0.0238
2.0538	0.0236
1.9901	0.0230
1.9284	0.0224
1.8686	0.0213
1.8107	0.0218
1.7545	0.0218
1.7001	0.0202
1.6474	0.0196
1.5963	0.0190
1.5468	0.0185
1.4989	0.0178
1.4524	0.0182
1.4073	0.0183
1.3637	0.0173
1.3214	0.0165
1.2804	0.0164
1.2407	0.0161
1.2023	0.0166
1.1650	0.0158
1.1288	0.0153
1.0938	0.0145
1.0599	0.0144
1.0271	0.0140
0.9952	0.0135
0.9643	0.0136
0.9344	0.0133
0.9055	0.0127
0.8774	0.0127
0.8502	0.0127
0.8238	0.0124
0.7983	0.0123
0.7735	0.0123
0.7495	0.0119
0.7265	0.0121
0.7038	0.0121
0.6819	0.0121
0.6615	0.0118
0.6411	0.0114
0.6205	0.0115
0.6012	0.0115
0.5828	0.0109
0.5652	0.0112
